category	explanation	question	opt0	opt1	opt2	opt3	gold
ANAGRAM; CONTAIN	Each clue contains at least one seven-letter word. Rearrange the letters in that  word to answer the clue.	like some deductions CLAIMED on tax returns	auction	conifer	medical	gallery	2
ANAGRAM; CONTAIN	Each clue contains at least one seven-letter word. Rearrange the letters in that  word to answer the clue.	tree with a FIR-CONE (extreme example of puzzler's license)	Esquire	conifer	auction	recipes	1
ANAGRAM; CONTAIN	Each clue contains at least one seven-letter word. Rearrange the letters in that  word to answer the clue.	where bidders should exhibit CAUTION	recipes	Esquire	medical	auction	3
ANAGRAM; CONTAIN	Each clue contains at least one seven-letter word. Rearrange the letters in that  word to answer the clue.	It's LARGELY filled with paintings.	medical	auction	conifer	gallery	3
ANAGRAM; CONTAIN	Each clue contains at least one seven-letter word. Rearrange the letters in that  word to answer the clue.	They give the PRECISE way to prepare dishes.	conifer	gallery	recipes	medical	2
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	NAME CINE	mean & nice	love & hate	sane & nuts	east & west	0
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	VOLE HEAT	slow & fast	love & hate	east & west	keep & toss	1
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	FLIT PROD	mare & stud	busy & idle	lift & drop	show & hide	2
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	OWLS FATS	mean & nice	slow & fast	busy & idle	came & went	1
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	VEIL DADE	gain & lose	live & dead	sane & nuts	east & west	1
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	PEEK SOTS	keep & toss	live & dead	busy & idle	came & went	0
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	AGIN SOLE	keep & toss	mare & stud	live & dead	gain & lose	3
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	REAM DUST	hire & fire	east & west	mare & stud	keep & toss	2
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	SEAN STUN	east & west	sane & nuts	live & dead	gain & lose	1
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	^SEAT STEW	east & west	slow & fast	hire & fire	show & hide	0
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	^HEIR RIFE	mean & nice	east & west	hire & fire	gain & lose	2
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	^WHOS HIED	keep & toss	show & hide	busy & idle	sane & nuts	1
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	^BUYS LIED	busy & idle	east & west	live & dead	gain & lose	0
ANAGRAM; S.O	Take two four-letter words. Rearrange the letters in each of them to make two new words that are opposites.	ACME NEWT	came & went	keep & toss	lift & drop	hire & fire	0
ANAGRAM; S.O	"Rearrange the letters in a four-letter word and a five-letter word to get a pair of synonyms. For example, given """"time"""" and """"night,"""" you would say """"item"""" and """"thing."""""	mope; sever	grin; smile	poem; verse	abut, touch	avid; eager	1
ANAGRAM; S.O	"Rearrange the letters in a four-letter word and a five-letter word to get a pair of synonyms. For example, given """"time"""" and """"night,"""" you would say """"item"""" and """"thing."""""	tuba; couth	abut, touch	rage; anger	rock; stone	task; chore	0
ANAGRAM; S.O	"Rearrange the letters in a four-letter word and a five-letter word to get a pair of synonyms. For example, given """"time"""" and """"night,"""" you would say """"item"""" and """"thing."""""	diva; agree	abut, touch	rock; stone	mean; nasty	avid; eager	3
ANAGRAM; S.O	"Rearrange the letters in a four-letter word and a five-letter word to get a pair of synonyms. For example, given """"time"""" and """"night,"""" you would say """"item"""" and """"thing."""""	skat; ochre	task; chore	abut, touch	poem; verse	avid; eager	0
ANAGRAM; S.O	"Rearrange the letters in a four-letter word and a five-letter word to get a pair of synonyms. For example, given """"time"""" and """"night,"""" you would say """"item"""" and """"thing."""""	fare; adder	grin; smile	bury; inter	rage; anger	fear; dread	3
ANAGRAM; S.O	"Rearrange the letters in a four-letter word and a five-letter word to get a pair of synonyms. For example, given """"time"""" and """"night,"""" you would say """"item"""" and """"thing."""""	ruby; inert	rage; anger	grin; smile	bury; inter	fear; dread	2
ANAGRAM; S.O	"Rearrange the letters in a four-letter word and a five-letter word to get a pair of synonyms. For example, given """"time"""" and """"night,"""" you would say """"item"""" and """"thing."""""	rave; taste	aver; state	bury; inter	task; chore	fear; dread	0
ANAGRAM; S.O	"Rearrange the letters in a four-letter word and a five-letter word to get a pair of synonyms. For example, given """"time"""" and """"night,"""" you would say """"item"""" and """"thing."""""	gear; range	rage; anger	poem; verse	abut, touch	task; chore	0
ANAGRAM; S.O	"Rearrange the letters in a four-letter word and a five-letter word to get a pair of synonyms. For example, given """"time"""" and """"night,"""" you would say """"item"""" and """"thing."""""	cork; onset	aver; state	mean; nasty	rock; stone	rage; anger	2
ANAGRAM; S.O	"Rearrange the letters in a four-letter word and a five-letter word to get a pair of synonyms. For example, given """"time"""" and """"night,"""" you would say """"item"""" and """"thing."""""	name; tansy	mean; nasty	fear; dread	aver; state	avid; eager	0
I.E	I'm going to give you two words. Think of a third word that can follow each of mine to complete compound words or familiar two-word phrases. And as help, the initial letters of my two words will be the first two letters of your answer.	Easter Goose	free	office	station	egg	3
I.E	I'm going to give you two words. Think of a third word that can follow each of mine to complete compound words or familiar two-word phrases. And as help, the initial letters of my two words will be the first two letters of your answer.	Service Television	station	free	office	house	0
I.E	I'm going to give you two words. Think of a third word that can follow each of mine to complete compound words or familiar two-word phrases. And as help, the initial letters of my two words will be the first two letters of your answer.	Oval Front	egg	free	station	office	3
I.E	I'm going to give you two words. Think of a third word that can follow each of mine to complete compound words or familiar two-word phrases. And as help, the initial letters of my two words will be the first two letters of your answer.	Fancy Risk	house	office	egg	free	3
I.E	I'm going to give you two words. Think of a third word that can follow each of mine to complete compound words or familiar two-word phrases. And as help, the initial letters of my two words will be the first two letters of your answer.	Halfway Open	free	egg	station	house	3
RHYME	"You will be given two words. Think of a third word that can follow each to complete a familiar two-word phrase. The third word will rhyme with one of the given words. For example, given """"blame"""" and """"board,"""" you would say """"game,"""" as in """"blame game"""" and """"board game."""""	fan, snail	mail	share	power	beer	0
RHYME	"You will be given two words. Think of a third word that can follow each to complete a familiar two-word phrase. The third word will rhyme with one of the given words. For example, given """"blame"""" and """"board,"""" you would say """"game,"""" as in """"blame game"""" and """"board game."""""	chill, sleeping	pill	cat	child	beer	0
RHYME	"You will be given two words. Think of a third word that can follow each to complete a familiar two-word phrase. The third word will rhyme with one of the given words. For example, given """"blame"""" and """"board,"""" you would say """"game,"""" as in """"blame game"""" and """"board game."""""	poster, wild	pill	gun	beer	child	3
RHYME	"You will be given two words. Think of a third word that can follow each to complete a familiar two-word phrase. The third word will rhyme with one of the given words. For example, given """"blame"""" and """"board,"""" you would say """"game,"""" as in """"blame game"""" and """"board game."""""	fair, market	pill	child	mail	share	3
